names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,cell_type
HU01G02278,-0.102979235,-0.33470488,0.9179794536829955,1.0,0.015056461731493099,EX-LIKE
HU02G01014,-0.10305095,-0.39541927,0.9179225381403961,1.0,0.018820577164366373,EX-LIKE
HU03G02082,-0.10312266,-0.091640174,0.9178656230184038,1.0,0.011292346298619825,EX-LIKE
HU11G01140,-0.10326608,-0.3186722,0.9177517940373983,1.0,0.04893350062735257,EX-LIKE
HU08G02220,-0.103337795,-0.20976941,0.9176948801789644,1.0,0.07904642409033877,EX-LIKE
HU05G00771,-0.10340951,-0.15064773,0.9176379667422956,1.0,0.04265997490589712,EX-LIKE
HU06G01740,-0.10369636,-0.41259202,0.9174103172190646,1.0,0.015056461731493099,EX-LIKE
HU0G00241,-0.10376807,-0.15571722,0.9173534058955656,1.0,0.011292346298619825,EX-LIKE
HU08G00983,-0.10398321,-0.42653745,0.9171826744672418,1.0,0.015056461731493099,EX-LIKE
HU06G01908,-0.10412663,-0.5239056,0.9170688556363987,1.0,0.02258469259723965,EX-LIKE
HU01G00082,-0.10434177,-0.49429548,0.9168981305779835,1.0,0.026348808030112924,EX-LIKE
HU04G00290,-0.10441348,-0.39926475,0.9168412230764296,1.0,0.015056461731493099,EX-LIKE
HU06G00725,-0.1044852,-0.58133423,0.9167843160009836,1.0,0.018820577164366373,EX-LIKE
HU04G01041,-0.1044852,-0.4548521,0.9167843160009836,1.0,0.026348808030112924,EX-LIKE
HU06G01720,-0.10498718,-0.4680437,0.9163859784281998,1.0,0.015056461731493099,EX-LIKE
HU03G01362,-0.10505889,-0.26531094,0.9163290747720378,1.0,0.011292346298619825,EX-LIKE
HU10G00793,-0.105202325,-0.31337664,0.9162152687461422,1.0,0.011292346298619825,EX-LIKE
HU04G01224,-0.10527404,-0.44116804,0.9161583663769874,1.0,0.015056461731493099,EX-LIKE
HU08G01657,-0.10527404,-0.31097424,0.9161583663769874,1.0,0.060225846925972396,EX-LIKE
HU06G02651,-0.10527404,-0.4949717,0.9161583663769874,1.0,0.02258469259723965,EX-LIKE
HU02G01101,-0.10548917,-0.35436764,0.9159876618481669,1.0,0.011292346298619825,EX-LIKE
HU07G00378,-0.105632596,-0.18881454,0.9158738609807172,1.0,0.04265997490589712,EX-LIKE
HU03G00634,-0.105632596,-0.424731,0.9158738609807172,1.0,0.011292346298619825,EX-LIKE
HU04G00742,-0.10570431,-0.5627068,0.9158169611933896,1.0,0.015056461731493099,EX-LIKE
HU06G00133,-0.10577602,-0.4651082,0.9157600618373793,1.0,0.011292346298619825,EX-LIKE
HU02G02399,-0.10599116,-0.5763177,0.915589366360146,1.0,0.015056461731493099,EX-LIKE
HU05G00547,-0.10599116,-0.660983,0.915589366360146,1.0,0.02258469259723965,EX-LIKE
HU03G02347,-0.106062874,-0.5041546,0.9155324687322983,1.0,0.011292346298619825,EX-LIKE
HU02G00617,-0.106134586,-0.25994268,0.9154755715372147,1.0,0.06775407779171895,EX-LIKE
HU11G00452,-0.106134586,-0.5281679,0.9154755715372147,1.0,0.015056461731493099,EX-LIKE
HU10G01077,-0.1062063,-0.6646271,0.9154186747751845,1.0,0.018820577164366373,EX-LIKE
HU10G01110,-0.10642143,-0.63129973,0.9152479870903062,1.0,0.015056461731493099,EX-LIKE
HU04G00634,-0.106493145,-0.38134253,0.9151910920633819,1.0,0.011292346298619825,EX-LIKE
HU07G02186,-0.10663657,-0.5019834,0.9150773033133219,1.0,0.011292346298619825,EX-LIKE
HU11G00901,-0.10670829,-0.6976489,0.9150204095907648,1.0,0.015056461731493099,EX-LIKE
HU08G00895,-0.10678,-0.23691274,0.9149635163035752,1.0,0.07151819322459223,EX-LIKE
HU10G01555,-0.10678,-0.56607527,0.9149635163035752,1.0,0.011292346298619825,EX-LIKE
HU05G01646,-0.10685171,-0.5968455,0.9149066234520422,1.0,0.015056461731493099,EX-LIKE
HU09G01979,-0.10706685,-0.5745742,0.9147359475142767,1.0,0.011292346298619825,EX-LIKE
HU10G00009,-0.10721027,-0.5503424,0.914622165739353,1.0,0.011292346298619825,EX-LIKE
HU01G02771,-0.10721027,-0.61310023,0.914622165739353,1.0,0.011292346298619825,EX-LIKE
HU07G00449,-0.10728198,-0.117304094,0.9145652755078346,1.0,0.0075282308657465494,EX-LIKE
HU07G00622,-0.107353695,-0.65478414,0.9145083857139977,1.0,0.011292346298619825,EX-LIKE
