names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,cell_type
HU05G00201,1.7110142,1.3620858,0.08707849916107664,1.0,0.16541353383458646,VAS
HU04G01881,1.7107311,2.7992399,0.08713074421653105,1.0,0.11278195488721804,VAS
HU06G01766,1.7107311,1.5896683,0.08713074421653105,1.0,0.12781954887218044,VAS
HU03G01192,1.7098824,1.6830112,0.08728763118899278,1.0,0.13533834586466165,VAS
HU03G01021,1.7098824,0.501055,0.08728763118899278,1.0,0.2857142857142857,VAS
HU10G01445,1.7098824,0.65692866,0.08728763118899278,1.0,0.2556390977443609,VAS
HU11G01384,1.7084676,1.4544514,0.08754961598037372,1.0,0.14285714285714285,VAS
HU07G00275,1.7084676,2.6416388,0.08754961598037372,1.0,0.11278195488721804,VAS
HU03G01724,1.7073358,1.308135,0.08775966024733026,1.0,0.14285714285714285,VAS
HU10G00391,1.705921,1.5663992,0.08802278696954044,1.0,0.13533834586466165,VAS
HU03G00904,1.7047892,1.6334145,0.08823374608666502,1.0,0.13533834586466165,VAS
HU10G00317,1.7039404,0.7578473,0.08839223277754958,1.0,0.23308270676691728,VAS
HU09G01089,1.7039404,1.590717,0.08839223277754958,1.0,0.14285714285714285,VAS
HU01G00235,1.7039404,0.84498787,0.08839223277754958,1.0,0.20300751879699247,VAS
HU09G00593,1.7028085,1.9586486,0.08860390524969876,1.0,0.12781954887218044,VAS
HU05G02233,1.7025256,0.7865123,0.08865688715078382,1.0,0.18045112781954886,VAS
HU11G01526,1.7019597,0.72149,0.08876292754900098,1.0,0.18045112781954886,VAS
HU11G01638,1.7011108,0.6934323,0.08892217975727197,1.0,0.21052631578947367,VAS
HU09G00559,1.700545,1.4330823,0.08902847573072131,1.0,0.14285714285714285,VAS
HU11G01690,1.6996961,1.2008555,0.08918811160388247,1.0,0.16541353383458646,VAS
HU11G01141,1.6985643,0.41339162,0.0894013180105882,1.0,0.39849624060150374,VAS
HU09G01247,1.6982813,1.0981216,0.08945468369734813,1.0,0.16541353383458646,VAS
HU01G01228,1.6974324,0.5560347,0.0896149346906656,1.0,0.3308270676691729,VAS
HU06G00691,1.6974324,2.2584958,0.0896149346906656,1.0,0.12030075187969924,VAS
HU02G03098,1.6965836,0.98247856,0.08977541675262435,1.0,0.17293233082706766,VAS
HU08G00694,1.6965836,1.9206127,0.08977541675262435,1.0,0.12781954887218044,VAS
HU09G00653,1.6963006,2.3370614,0.08982896215943634,1.0,0.12030075187969924,VAS
HU01G01215,1.6960176,0.93975306,0.08988253327274567,1.0,0.16541353383458646,VAS
HU01G00384,1.6954517,0.82912934,0.0899897526510572,1.0,0.17293233082706766,VAS
HU08G00262,1.6951689,1.2347888,0.09004340093215929,1.0,0.16541353383458646,VAS
HU06G00694,1.6931882,3.200316,0.09041966003413,1.0,0.10526315789473684,VAS
HU01G01834,1.6920563,1.4252466,0.09063523254899084,1.0,0.15037593984962405,VAS
HU08G01378,1.6917734,1.362734,0.09068919022564972,1.0,0.13533834586466165,VAS
HU03G01866,1.6906415,2.2269719,0.09090527936544805,1.0,0.12030075187969924,VAS
HU10G00457,1.6886609,1.3378024,0.09128443156671853,1.0,0.15037593984962405,VAS
HU02G01003,1.688095,1.2251467,0.09139299396027077,1.0,0.14285714285714285,VAS
HU02G00446,1.688095,0.72089314,0.09139299396027077,1.0,0.19548872180451127,VAS
HU02G02409,1.6863973,0.58217335,0.09171930395454715,1.0,0.21804511278195488,VAS
HU10G00507,1.6858314,6.05235,0.0918282817716136,1.0,0.09774436090225563,VAS
HU04G00476,1.6855484,1.2320478,0.09188280968238634,1.0,0.13533834586466165,VAS
HU02G00635,1.6852654,2.696746,0.09193736360537158,1.0,0.11278195488721804,VAS
HU03G00276,1.6846995,0.9486561,0.09204654952013591,1.0,0.16541353383458646,VAS
HU03G02536,1.6846995,2.0464067,0.09204654952013591,1.0,0.12781954887218044,VAS
HU02G01557,1.682436,5.147228,0.09248433527536401,1.0,0.09774436090225563,VAS
HU11G00825,1.6818701,1.7240921,0.09259404255969271,1.0,0.12781954887218044,VAS
HU09G01369,1.6818701,2.8076305,0.09259404255969271,1.0,0.11278195488721804,VAS
HU04G02062,1.6813041,5.3185587,0.09270385431080215,1.0,0.09774436090225563,VAS
HU05G00021,1.6801723,4.998067,0.09292379147046165,1.0,0.09774436090225563,VAS
HU09G00676,1.6798893,1.987632,0.09297884115253877,1.0,0.13533834586466165,VAS
HU09G00499,1.6796064,1.3034956,0.09303391700754635,1.0,0.15789473684210525,VAS
HU05G02105,1.6796064,0.7317752,0.09303391700754635,1.0,0.21804511278195488,VAS
HU03G01839,1.6776258,0.39634788,0.09342018150930266,1.0,0.3308270676691729,VAS
HU05G00235,1.676211,0.9976858,0.09369687167952509,1.0,0.17293233082706766,VAS
HU03G01784,1.6756451,1.9346058,0.09380773163264619,1.0,0.12781954887218044,VAS
HU02G03093,1.6750792,0.48172027,0.0939186967592547,1.0,0.2781954887218045,VAS
HU07G01582,1.6750792,2.521802,0.0939186967592547,1.0,0.11278195488721804,VAS
HU05G01714,1.6728156,0.9995156,0.09436361028463519,1.0,0.15789473684210525,VAS
HU06G01463,1.6728156,2.5762146,0.09436361028463519,1.0,0.11278195488721804,VAS
HU01G02447,1.6722497,1.9426637,0.09447510224167724,1.0,0.12781954887218044,VAS
HU02G02290,1.6705519,0.74768645,0.09481021172130541,1.0,0.18045112781954886,VAS
HU04G00727,1.6705519,1.5964975,0.09481021172130541,1.0,0.13533834586466165,VAS
HU08G02066,1.6705519,0.91036654,0.09481021172130541,1.0,0.18796992481203006,VAS
HU04G01218,1.669986,2.503957,0.09492212629788646,1.0,0.11278195488721804,VAS
HU06G01929,1.6680053,0.887947,0.09531466103207735,1.0,0.18796992481203006,VAS
HU09G01658,1.6677225,1.1341352,0.0953708433982809,1.0,0.15037593984962405,VAS
HU07G02358,1.6665906,1.3434145,0.09559583812270295,1.0,0.15789473684210525,VAS
HU02G00394,1.6651758,3.4549265,0.09587767896331605,1.0,0.10526315789473684,VAS
HU02G01327,1.6648929,2.2804263,0.09593412686956615,1.0,0.11278195488721804,VAS
HU11G01944,1.6626292,1.4691988,0.09638666832268168,1.0,0.13533834586466165,VAS
HU01G02472,1.6620634,2.2028553,0.09650007014709991,1.0,0.11278195488721804,VAS
HU08G01981,1.6620634,1.7646844,0.09650007014709991,1.0,0.12781954887218044,VAS
HU03G00083,1.6609316,0.5063543,0.0967271939976172,1.0,0.45864661654135336,VAS
HU02G00864,1.6603657,1.7772945,0.09684091615177354,1.0,0.12781954887218044,VAS
HU06G01029,1.6600827,0.69790435,0.09689781731408457,1.0,0.24060150375939848,VAS
HU08G01635,1.6592338,0.7094761,0.09706868123796282,1.0,0.20300751879699247,VAS
HU03G00225,1.658385,2.9031866,0.09723978598525737,1.0,0.10526315789473684,VAS
HU01G02236,1.658385,3.141928,0.09723978598525737,1.0,0.10526315789473684,VAS
HU02G01130,1.657819,1.2858597,0.09735398971422388,1.0,0.16541353383458646,VAS
HU01G01987,1.6566873,0.63995993,0.09758271881390271,1.0,0.2631578947368421,VAS
HU09G01644,1.6566873,1.7659519,0.09758271881390271,1.0,0.13533834586466165,VAS
